INSPECTION_ID,DBA NAME,FACILITY_TYPE,RISK,RESULTS,NO_VIOLATIONS,VIOLATIONS_ON_MANAGEMENT_AND_SUPERVISION,VIOLATIONS_ON_HYGIENE_AND_FOOD_SECURITY,VIOLATIONS_ON_TEMPERATURE_AND_SPECIAL_PROCEDURES,VIOLATIONS_ON_FOOD_SAFETY_AND_QUALITY,VIOLATIONS_ON_INSTRUMENT_STORAGE_AND_MAINTENANCE,VIOLATIONS_ON_FACILITIES_AND_REGULATIONS,HAS_INSP_SERRIOUS_VIOL,COMMUNITY_AREA,NUM_INSP_AREA,PERC_INS_FAILED_AREA,PERC_INS_PASSED_AREA,PERC_INS_PASSED_COND_AREA,PERC_SERIOUS_VIOLATIONS_FAILED_AREA,IS_HIGH_CRIME_AREA,IS_HIGH_RISK_AREA,IS_LOW_HEALTH_AREA,IS_HIGH_BELOW_POVERTY_LEVEL,IS_LOW_PER_CAPITA_INCOME,IS_HIGH_UNEMPLOYMENT_RATE,AREA_BELOW_POVERTY_LEVEL,AREA_PER_CAPITA_INCOME,AREA_UNEMPLOYMENT,AREA_CRIME_INDEX,AREA_HEALTH_INDEX
2304303,WEST RIVER CAFE,Restaurant,1.0,2,0,1,1,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2304514,ASHAR MART,Grocery Store,3.0,0,0,1,0,0,0,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2311354,BON VIVANT CAKES LLC,Bakery,2.0,2,0,1,0,0,0,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2578696,AJ MINI MART,Grocery Store,3.0,1,1,0,0,0,0,0,0,0,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2311659,MINI PALAPITA INC.,Restaurant,1.0,2,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2311719,XSPORT FITNESS,Restaurant,3.0,2,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2578657,CREMERIA LA ORDENA #2,Grocery Store,1.0,2,0,0,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2313168,HUARACHES Y QUESADILLAS DONA CHIO,Restaurant,1.0,2,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2320700,SALSAS GRILL,Restaurant,1.0,2,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2321135,CHICAGO PRODUCE,Grocery Store,1.0,2,0,0,0,1,0,0,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
