Inspection ID,DBA Name,Facility Type,Risk,Inspection Date,Results,Violations,Community Area Name
2304142,MC NAMARA'S FOOD & DRINKS,Restaurant,1.0,2019-08-06,0,"['5', '23', '25', '38', '47', '49', '51', '55', '55', '55', '57', '58', '59']",IRVING PARK
2579040,MILD2 SPICY,Restaurant,1.0,2023-07-25,1,[],LAKE VIEW
2579041,SUMI,Restaurant,1.0,2023-07-25,2,"['3', '10', '10', '10', '16', '22', '33', '35', '49', '51', '53', '55', '55', '61']",NEAR SOUTH SIDE
2304149,PARK AND FIELD,Restaurant,1.0,2019-08-06,2,"['5', '23', '25', '38', '44', '47', '49', '55', '55', '56', '58']",LOGAN SQUARE
2304152,CAFECITO,Restaurant,1.0,2019-08-06,2,"['2', '51', '55', '55', '55', '56', '56']",LINCOLN PARK
2304163,WHITE CASTLE #21,Restaurant,2.0,2019-08-06,2,"['5', '10', '47', '47', '51', '55', '56']",DUNNING
2304165,GIORDANO'S NAVY PIER,Restaurant,1.0,2019-08-06,1,"['38', '39', '51', '55', '55', '55', '56']",
2304169,JULIUS MEINL,Restaurant,1.0,2019-08-06,2,"['1', '2', '23', '25', '37', '47', '47', '48', '49', '55', '55', '56', '60']",LAKE VIEW
2304173,JEWEL FOOD STORE #3282,Grocery Store,1.0,2019-08-06,2,"['3', '5', '10', '36', '49', '49', '49', '49', '49', '51', '51', '51', '51', '51', '55', '55', '55', '55', '55', '56', '56']",PORTAGE PARK
2579022,CREATIVE COWORKING LLC,Restaurant,1.0,2023-07-25,2,[],EDGEWATER
2304226,INTELLIGENTSIA COFFEE & TEA INC,Restaurant,2.0,2019-08-07,0,"['10', '10', '36', '40', '48', '49', '55', '55']",LOOP
2304242,TUSCANY CAFE,Restaurant,1.0,2019-08-07,1,"['44', '49', '49']",OHARE
2304245,LIVING WITNESS LEARNING DAY CARE,Daycare,1.0,2019-08-07,0,"['5', '22', '33', '48', '55', '55', '55', '55', '55']",PORTAGE PARK
2304247,GIFTED CHILDREN ACADEMY,Daycare,1.0,2019-08-07,0,"['3', '12', '22', '33', '48', '55', '60']",ROGERS PARK
2304249,SPORTS CORNER,Restaurant,1.0,2019-08-07,0,"['16', '25', '37', '38', '40', '47', '55', '55']",LAKE VIEW
2304252,BLACKSTONE HOTEL,Restaurant,1.0,2019-08-07,0,"['9', '10', '10', '16', '16', '22', '23', '25', '29', '32', '35', '38', '48', '48', '48', '55', '57']",LOOP
2304267,CANTON REGIO,Restaurant,1.0,2019-08-07,2,"['3', '5', '25', '37', '47', '47', '47', '51', '53', '57', '58']",LOWER WEST SIDE
