Inspection ID,DBA Name,Facility Type,Risk,Inspection Date,Results,Violations,Community Area Name,Community Area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Per Capita Income,Unemployment
2402103,FREMONT BAR,Restaurant,1.0,2020-10-07,1,"['47', '47']",near north side,8,10.7,35.9,8.6,69.7,9.6,34.0,3.7,24.0,142.7,15.1,27.0,3.2,6.5,33.6,15.1,22.0,311.2,0.1,244.4,235.8,5.5,13.4,2.0,87163,5.2
2402105,KING'S KIDDIE KINGDOM,Daycare,1.0,2020-10-07,0,"['1', '2', '3', '10', '37', '38', '38', '39', '40', '44', '49', '51', '55', '55', '55', '55', '55', '55']",englewood,68,20.0,85.8,14.5,69.7,13.1,105.3,45.1,32.9,252.2,30.2,101.8,44.9,13.4,76.8,57.7,71.6,401.0,2.8,2594.9,2323.5,11.3,42.2,4.8,11993,21.3
2402113,VINCE'S PIZZA,Restaurant,1.0,2020-10-07,1,"['47', '53', '55', '55']",clearing,64,14.6,68.3,7.4,85.8,8.0,38.7,9.4,23.6,189.4,22.5,72.0,12.7,6.7,58.6,18.7,53.5,302.0,0.3,,.,0.9,5.9,3.4,23920,9.6
2402114,SIDE CAR LR,Restaurant,1.0,2020-10-06,2,"['25', '39', '47', '49', '49', '55', '55']",lake view,6,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13.0,38.5,1.8,2.2,32.5,17.0,24.4,179.2,0.4,81.8,357.6,3.2,10.5,1.2,58227,4.7
2402124,LA CASA DE SAMUEL REST.,Restaurant,1.0,2020-10-07,0,"['16', '51', '55', '55', '55', '56']",south lawndale,30,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65.0,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,106.8,7.9,28.1,17.6,10697,11.5
2402154,TAQUERIA GOMEZ,Restaurant,1.0,2020-10-08,1,"['49', '54', '55', '55', '56']",south lawndale,30,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65.0,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,106.8,7.9,28.1,17.6,10697,11.5
2402167,JETS PIZZA,Restaurant,2.0,2020-10-08,0,"['5', '10', '36', '47', '47', '53', '55', '57', '60', '61']",west town,24,18.8,60.4,9.1,75.5,10.8,49.2,8.5,14.5,139.6,12.4,107.0,6.6,5.1,27.4,16.6,33.3,316.6,0.5,177.5,182.8,3.6,15.7,2.0,39596,6.0
2402169,DUFFY'S PLACE INC,Liquor,3.0,2020-10-08,0,"['3', '5', '10', '38', '55', '55', '57']",clearing,64,14.6,68.3,7.4,85.8,8.0,38.7,9.4,23.6,189.4,22.5,72.0,12.7,6.7,58.6,18.7,53.5,302.0,0.3,,.,0.9,5.9,3.4,23920,9.6
2575041,FAIR SHARE FINE FOOD,Grocery Store,1.0,2023-04-27,0,"['1', '2', '10', '10', '23', '36', '38', '38', '38', '39', '41', '47', '49', '51', '53', '55', '55', '55', '56', '56', '56']",clearing,64,14.6,68.3,7.4,85.8,8.0,38.7,9.4,23.6,189.4,22.5,72.0,12.7,6.7,58.6,18.7,53.5,302.0,0.3,,.,0.9,5.9,3.4,23920,9.6
2575038,"LITERACY ZONE, INC.",Children's Services Facility,1.0,2023-04-27,1,[],gage park,63,21.8,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171.0,13.6,65.0,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,149.2,7.0,20.8,17.4,12014,14.0
